,Capacity,
802.1,0,0
802.2,0,1
802.3,0,2
806.1,0,3
806.2,0,4
806.3,0,5
808.1,0,6
808.2,0,7
808.3,0,8
810.2,0,9
812.1,0,10
812.2,0,11
812.3,0,12
814.1,0,13
814.2,0,14
814.3,0,15
850.1,150,16
850.2,180,17
850.3,210,18
816.1,0,19
818.1,0,20
816.2,0,21
816.3,0,22
824.1,0,23
824.2,0,24
824.3,0,25
820.1,0,26
822.1,0,27
826.2,0,28
828.1,0,29
828.2,0,30
828.3,0,31
830.1,0,32
830.2,0,33
830.3,0,34
854.1,0,35
854.2,0,36
854.3,0,37
832.1,0,38
832.2,0,39
832.3,0,40
858.1,0,41
858.2,0,42
858.3,0,43
888.1,0,44
888.2,150,45
888.3,0,46
834.1,0,47
834.2,210,48
834.3,0,49
860.1,0,50
860.2,0,51
860.3,240,52
842.1,0,53
842.2,0,54
842.3,210,55
836.1,0,56
836.2,0,57
836.3,210,58
840.1,0,59
840.2,0,60
840.3,230,61
862.1,180,62
862.2,250,63
862.3,210,64
844.1,0,65
844.2,145,66
844.3,0,67
846.1,175,68
846.2,200,69
846.3,240,70
848.1,0,71
848.2,0,72
848.3,250,73
852.1,0,74
852.2,0,75
852.3,180,76
856.2,210,77
864.1,0,78
838.2,0,79
890.1,0,80
890.2,0,81
890.3,350,82