,EndSOC
802.1,0
802.2,0
802.3,0
806.1,0
806.2,0
806.3,0
808.1,0
808.2,0
808.3,0
810.2,0
812.1,0
812.2,0
812.3,0
814.1,0
814.2,0
814.3,0
850.1,50
850.2,50
850.3,50
816.1,0
816.2,0
816.3,0
818.1,0
818.2,0
818.3,0
824.1,0
824.2,0
824.3,0
820.1,0
820.2,0
820.3,0
822.1,0
822.2,0
822.3,0
826.2,0
828.1,0
828.2,0
828.3,0
830.1,0
830.2,0
830.3,0
854.1,0
854.2,0
854.3,0
832.1,0
832.2,50
832.3,0
858.1,0
858.2,50
858.3,0
888.1,0
888.2,0
888.3,50
834.1,0
834.2,0
834.3,50
860.1,0
860.2,0
860.3,50
842.1,0
842.2,0
842.3,50
836.1,50
836.2,50
836.3,50
840.1,0
840.2,50
840.3,0
862.1,50
862.2,50
862.3,50
844.1,0
844.2,0
844.3,50
846.1,0
846.2,0
846.3,50
848.1,50
848.2,0
848.3,0
852.1,0
852.2,0
852.3,50
856.2,0
864.1,0
838.2,0
890.1,0
890.2,0
890.3,0